Date,IDEX
3/20/2020,0.56
3/23/2020,0.55
3/24/2020,0.6
3/25/2020,0.68
3/26/2020,1.03
3/27/2020,0.98
3/30/2020,1.16
3/31/2020,1.34
4/1/2020,0.94
4/2/2020,0.91
4/3/2020,0.87
4/6/2020,0.97
4/7/2020,0.9
4/8/2020,0.85
4/9/2020,0.82
4/13/2020,0.79
4/14/2020,0.76
4/15/2020,0.68
4/16/2020,0.66
4/17/2020,0.64
4/20/2020,0.59
4/21/2020,0.64
4/22/2020,0.71
4/23/2020,0.69
4/24/2020,0.67
4/27/2020,0.8
4/28/2020,0.72
4/29/2020,0.64
4/30/2020,0.6
5/1/2020,0.62
5/4/2020,0.59
5/5/2020,0.55
5/6/2020,0.54
5/7/2020,0.52
5/8/2020,0.53
5/11/2020,0.49
5/12/2020,0.44
5/13/2020,0.4
5/14/2020,0.41
5/15/2020,0.43
5/18/2020,0.48
5/19/2020,0.46
5/20/2020,0.5
5/21/2020,0.41
5/22/2020,0.42
5/26/2020,0.42
5/27/2020,0.43
5/28/2020,0.41
5/29/2020,0.39
6/1/2020,0.4
6/2/2020,0.39
6/3/2020,0.38
6/4/2020,0.38
6/5/2020,0.47
6/8/2020,0.62
6/9/2020,1.02
6/10/2020,1.18
6/11/2020,1.09
6/12/2020,1.14
6/15/2020,1.1
6/16/2020,1.19
6/17/2020,2.02
6/18/2020,2.06
6/19/2020,2.22
6/22/2020,3.29
6/23/2020,2.99
6/24/2020,3.09
6/25/2020,2.44
6/26/2020,1.46
6/29/2020,2.09
6/30/2020,2.01
